cancelId,legacyOrderId,cancelState,cancelStatus,cancelReason,cancelRequestDate,cancelCloseDate,buyerLoginName,sellerLoginName,requestorType
5417933685,14-13768-39522,CLOSED,CANCEL_CLOSED_WITH_REFUND,ORDER_MISTAKE,{'value': '2025-11-01T20:36:52.000Z'},{'value': '2025-11-01T21:25:05.000Z'},,,BUYER
5417935643,05-13784-46369,CLOSED,CANCEL_CLOSED_WITH_REFUND,ORDER_MISTAKE,{'value': '2025-11-01T21:03:13.000Z'},{'value': '2025-11-01T21:27:49.000Z'},,,BUYER
5417944555,20-13763-71772,CLOSED,CANCEL_CLOSED_WITH_REFUND,ORDER_MISTAKE,{'value': '2025-11-01T23:17:30.000Z'},{'value': '2025-11-02T23:20:40.000Z'},,,BUYER
5418639998,19-13792-13569,CLOSED,CANCEL_CLOSED_WITH_REFUND,UNKNOWN,{'value': '2025-11-08T03:04:50.000Z'},{'value': '2025-11-08T22:00:34.000Z'},,,BUYER
5418843151,05-13820-59052,CLOSED,CANCEL_CLOSED_WITH_REFUND,WRONG_SHIPPING_ADDRESS,{'value': '2025-11-10T05:10:19.000Z'},{'value': '2025-11-10T10:43:24.000Z'},,,BUYER
5419028719,17-13807-46293,CLOSED,CANCEL_CLOSED_WITH_REFUND,UNKNOWN,{'value': '2025-11-11T16:39:27.000Z'},{'value': '2025-11-11T18:15:38.000Z'},,,BUYER
5419150129,12-13819-39265,CLOSED,CANCEL_CLOSED_WITH_REFUND,WONT_ARRIVE_IN_TIME,{'value': '2025-11-12T17:24:26.000Z'},{'value': '2025-11-13T01:42:01.000Z'},,,BUYER
5419357980,01-13845-60378,CLOSED,CANCEL_CLOSED_WITH_REFUND,WRONG_PAYMENT_METHOD,{'value': '2025-11-14T13:59:24.000Z'},{'value': '2025-11-14T17:53:37.000Z'},,,BUYER
5419418923,24-13830-43034,CLOSED,CANCEL_CLOSED_WITH_REFUND,ORDER_MISTAKE,{'value': '2025-11-15T01:36:25.000Z'},{'value': '2025-11-16T03:33:40.000Z'},,,BUYER
5419424625,27-13811-68979,CLOSED,CANCEL_CLOSED_WITH_REFUND,UNKNOWN,{'value': '2025-11-15T03:03:32.000Z'},{'value': '2025-11-16T03:36:00.000Z'},,,BUYER
5419601102,06-13841-45316,CLOSED,CANCEL_CLOSED_WITH_REFUND,WONT_ARRIVE_IN_TIME,{'value': '2025-11-16T22:52:41.000Z'},{'value': '2025-11-17T17:58:02.000Z'},,,BUYER
5419684592,10-13837-78135,CLOSED,CANCEL_CLOSED_WITH_REFUND,UNKNOWN,{'value': '2025-11-17T15:37:58.000Z'},{'value': '2025-11-17T17:58:14.000Z'},,,BUYER
5419814454,03-13860-56870,CLOSED,CANCEL_CLOSED_WITH_REFUND,UNKNOWN,{'value': '2025-11-18T15:50:16.000Z'},{'value': '2025-11-18T18:04:56.000Z'},,,BUYER
5420005485,07-13862-72067,CLOSED,CANCEL_CLOSED_WITH_REFUND,ORDER_MISTAKE,{'value': '2025-11-20T05:33:34.000Z'},{'value': '2025-11-20T18:00:53.000Z'},,,BUYER
5420038841,05-13866-69994,CLOSED,CANCEL_CLOSED_WITH_REFUND,ORDER_MISTAKE,{'value': '2025-11-20T13:41:17.000Z'},{'value': '2025-11-20T18:00:10.000Z'},,,BUYER
5420114850,24-13857-69115,CLOSED,CANCEL_CLOSED_WITH_REFUND,ORDER_MISTAKE,{'value': '2025-11-21T03:36:05.000Z'},{'value': '2025-11-21T05:27:58.000Z'},,,BUYER
5420117854,08-13865-12151,CLOSED,CANCEL_CLOSED_WITH_REFUND,ORDER_MISTAKE,{'value': '2025-11-21T04:28:04.000Z'},{'value': '2025-11-21T05:28:00.000Z'},,,BUYER
5420612895,23-13862-07308,CLOSED,CANCEL_CLOSED_WITH_REFUND,WONT_ARRIVE_IN_TIME,{'value': '2025-11-25T16:13:23.000Z'},{'value': '2025-11-25T17:58:23.000Z'},,,BUYER
5420775272,24-13883-65543,CLOSED,CANCEL_CLOSED_WITH_REFUND,WRONG_SHIPPING_ADDRESS,{'value': '2025-11-26T23:40:08.000Z'},{'value': '2025-11-27T20:57:56.000Z'},,,BUYER
5421005505,02-13908-70328,CLOSED,CANCEL_CLOSED_WITH_REFUND,ORDER_MISTAKE,{'value': '2025-11-29T01:32:47.000Z'},{'value': '2025-12-01T18:02:22.000Z'},,,BUYER
