returnId,returnType,returnState,returnStatus,returnReason,creationDate,lastModifiedDate,buyerLoginName,sellerLoginName,itemId,transactionId,itemTitle,refundAmount,currency
5304690748,,CLOSED,CLOSED,,,,dadper-httpnepkq,espartsplus,,,,,
5304718677,,CLOSED,CLOSED,,,,marcolivare-2,espartsplus,,,,,
5304729815,,CLOSED,CLOSED,,,,stepanstasiuk,espartsplus,,,,,
5304733518,,CLOSED,CLOSED,,,,829brian,espartsplus,,,,,
5304744365,,CLOSED,CLOSED,,,,rober.colwe,espartsplus,,,,,
5304793998,,CLOSED,CLOSED,,,,charleshepher56,espartsplus,,,,,
5304812404,,CLOSED,CLOSED,,,,svperformance2024,espartsplus,,,,,
5304873430,,CLOSED,CLOSED,,,,pfr_ski_9wccpji,espartsplus,,,,,
5304902303,,CLOSED,CLOSED,,,,kyoto-01,espartsplus,,,,,
5304907287,,CLOSED,CLOSED,,,,dustind_428,espartsplus,,,,,
5304911789,,CLOSED,CLOSED,,,,7654232007,espartsplus,,,,,
5304987510,,CLOSED,CLOSED,,,,ccboykins74clifford,espartsplus,,,,,
5304995802,,CLOSED,CLOSED,,,,johguillor_8,espartsplus,,,,,
5305042941,,CLOSED,CLOSED,,,,lotarh,espartsplus,,,,,
5305062711,,CLOSED,CLOSED,,,,packinship,espartsplus,,,,,
5305152457,,CLOSED,CLOSED,,,,ctrpwr2013,espartsplus,,,,,
5305157387,,CLOSED,CLOSED,,,,elimec,espartsplus,,,,,
5305208752,,CLOSED,CLOSED,,,,joarro8202,espartsplus,,,,,
5305229585,,CLOSED,CLOSED,,,,loki1374,espartsplus,,,,,
5305348172,,CLOSED,CLOSED,,,,damiannnnnn,espartsplus,,,,,
5305358173,,CLOSED,CLOSED,,,,seun_884918,espartsplus,,,,,
5305370090,,CLOSED,CLOSED,,,,tazzuriel,espartsplus,,,,,
5305399655,,CLOSED,CLOSED,,,,loki1374,espartsplus,,,,,
5305601715,,CLOSED,CLOSED,,,,lila1001,espartsplus,,,,,
5305740383,,CLOSED,CLOSED,,,,timdog_27,espartsplus,,,,,
5305740509,,CLOSED,CLOSED,,,,brhus351,espartsplus,,,,,
5305744710,,CLOSED,CLOSED,,,,gugogia0,espartsplus,,,,,
5305763086,,CLOSED,CLOSED,,,,yinghu-21,espartsplus,,,,,
5305768306,,CLOSED,CLOSED,,,,elsapupo,espartsplus,,,,,
5305786212,,CLOSED,CLOSED,,,,ji651239,espartsplus,,,,,
5305801326,,CLOSED,CLOSED,,,,gsxr-mil,espartsplus,,,,,
5305814494,,CLOSED,CLOSED,,,,pwong319,espartsplus,,,,,
5305814787,,CLOSED,CLOSED,,,,frankciccio9469,espartsplus,,,,,
5305855742,,CLOSED,CLOSED,,,,robrho-90,espartsplus,,,,,
5305953111,,CLOSED,CLOSED,,,,supercarcentral,espartsplus,,,,,
5306073735,,CLOSED,CLOSED,,,,2236158,espartsplus,,,,,
5306136507,,CLOSED,CLOSED,,,,05086768craig,espartsplus,,,,,
5306157944,,CLOSED,CLOSED,,,,norbertrodrigue-0,espartsplus,,,,,
5306164488,,CLOSED,CLOSED,,,,danvaz6,espartsplus,,,,,
5306199287,,CLOSED,CLOSED,,,,mrgbii,espartsplus,,,,,
5306235169,,CLOSED,CLOSED,,,,anytime-78,espartsplus,,,,,
5306275727,,CLOSED,CLOSED,,,,dflv2793,espartsplus,,,,,
5306315547,,CLOSED,CLOSED,,,,elsapupo,espartsplus,,,,,
5306317320,,CLOSED,CLOSED,,,,hb15080504,espartsplus,,,,,
5306387713,,CLOSED,CLOSED,,,,dscorey47,espartsplus,,,,,
5306408965,,CLOSED,CLOSED,,,,salvage2savagefinds,espartsplus,,,,,
5306497337,,CLOSED,CLOSED,,,,timmy1198,espartsplus,,,,,
5306531831,,CLOSED,CLOSED,,,,superbikestore_llc,espartsplus,,,,,
5306655296,,CLOSED,CLOSED,,,,idilo-0,espartsplus,,,,,
5306724723,,CLOSED,CLOSED,,,,clev453,espartsplus,,,,,
5306758417,,CLOSED,CLOSED,,,,danikonika,espartsplus,,,,,
5306806835,,CLOSED,CLOSED,,,,elisa_2546,espartsplus,,,,,
5304637065,,CLOSED,ESCALATED,,,,nic_41578,espartsplus,,,,,
5304957522,,CLOSED,ESCALATED,,,,aidanpinkk,espartsplus,,,,,
5305144074,,CLOSED,ESCALATED,,,,jhaniax,espartsplus,,,,,
5305313019,,CLOSED,ESCALATED,,,,wiros-2314,espartsplus,,,,,
5305398923,,CLOSED,ESCALATED,,,,kulie123,espartsplus,,,,,
5306120638,,CLOSED,ESCALATED,,,,l3opold2013,espartsplus,,,,,
5306167783,,CLOSED,ESCALATED,,,,horsh_41,espartsplus,,,,,
5306167798,,CLOSED,ESCALATED,,,,horsh_41,espartsplus,,,,,
5306307494,,CLOSED,ESCALATED,,,,jmonte0719,espartsplus,,,,,
