transactionId,orderId,transactionType,transactionDate,transactionStatus,amount,currency,bookingEntry,buyerUsername,totalFeeAmount,feeType,transactionMemo,referenceItemId,referenceOrderId,ebayCollectedTax
FEE-7093943765213_11,,NON_SALE_CHARGE,2025-11-30T23:41:51.993Z,PAYOUT,3.23,USD,DEBIT,,,AD_FEE,Promoted Listings - General fee,405020721973,05-13913-57535,
05-13913-57535,05-13913-57535,SALE,2025-11-30T23:36:53.444Z,PAYOUT,27.07,USD,CREDIT,braxtotaylo0,3.92,,,,,3.02
FEE-7093851127213_11,,NON_SALE_CHARGE,2025-11-30T23:03:43.669Z,PAYOUT,3.11,USD,DEBIT,,,AD_FEE,Promoted Listings - General fee,404867551490,08-13908-52197,
19-13893-50212,19-13893-50212,SALE,2025-11-30T23:01:59.389Z,PAYOUT,19.13,USD,CREDIT,98ricky,2.86,,,,,1.76
08-13908-52197,08-13908-52197,SALE,2025-11-30T22:57:33.747Z,PAYOUT,26.2,USD,CREDIT,adrar_5056,3.79,,,,,2.77
21-13890-16493,21-13890-16493,SALE,2025-11-30T22:19:19.896Z,PAYOUT,17.37,USD,CREDIT,pjbennett_tech1,2.62,,,,,1.5
FEE-7093556562013_11,,NON_SALE_CHARGE,2025-11-30T21:28:23.848Z,PAYOUT,2.63,USD,DEBIT,,,AD_FEE,Promoted Listings - General fee,404490947065,10-13905-42135,
10-13905-42135,10-13905-42135,SALE,2025-11-30T21:23:19.310Z,PAYOUT,19.12,USD,CREDIT,ritmof-24,2.87,,,,,1.92
15-13898-12939,15-13898-12939,SALE,2025-11-30T20:12:48.535Z,PAYOUT,18.29,USD,CREDIT,jich_2600,2.7,,,,,1.26
FEE-7093339118613_11,,NON_SALE_CHARGE,2025-11-30T20:03:03.972Z,PAYOUT,2.49,USD,DEBIT,,,AD_FEE,Promoted Listings - General fee,405064060519,17-13895-23382,
17-13895-23382,17-13895-23382,SALE,2025-11-30T19:58:20.538Z,PAYOUT,20.89,USD,CREDIT,myliquidassets,3.11,,,,,2.22
FEE-7093235770513_11,,NON_SALE_CHARGE,2025-11-30T19:27:06.283Z,PAYOUT,2.92,USD,DEBIT,,,AD_FEE,Promoted Listings - General fee,404756941463,05-13912-32158,
05-13912-32158,05-13912-32158,SALE,2025-11-30T19:22:19.557Z,PAYOUT,25.42,USD,CREDIT,keha_1258,3.58,,,,,1.74
21-13889-09646,21-13889-09646,SALE,2025-11-30T18:55:53.260Z,PAYOUT,17.42,USD,CREDIT,jman2558,2.57,,,,,1.0
13-13900-13386,13-13900-13386,SALE,2025-11-30T16:48:34.925Z,PAYOUT,23.12,USD,CREDIT,undios_54,3.37,,,,,2.25
FEE-7092760053813_11,,NON_SALE_CHARGE,2025-11-30T16:16:27.330Z,PAYOUT,2.32,USD,DEBIT,,,AD_FEE,Promoted Listings - General fee,404200446510,24-13899-16241,
24-13899-16241,24-13899-16241,SALE,2025-11-30T16:09:32.000Z,PAYOUT,17.41,USD,CREDIT,annalus.dqf26kes,2.58,,,,,1.1
FEE-7092191328013_11,,NON_SALE_CHARGE,2025-11-30T12:01:57.805Z,PAYOUT,2.63,USD,DEBIT,,,AD_FEE,Promoted Listings - General fee,404694920844,18-13891-95931,
18-13891-95931,18-13891-95931,SALE,2025-11-30T11:55:04.362Z,PAYOUT,22.61,USD,CREDIT,pre_349628,3.26,,,,,1.81
FEE-7091838585213_11,,NON_SALE_CHARGE,2025-11-30T09:39:34.459Z,PAYOUT,7.02,USD,DEBIT,,,AD_FEE,Promoted Listings - General fee,403464733790,13-13898-78060,
13-13898-78060,13-13898-78060,SALE,2025-11-30T09:33:18.846Z,PAYOUT,61.44,USD,CREDIT,daorel-6644,8.05,,,,,4.41
FEE-7091797712113_11,25-13707-49786,SHIPPING_LABEL,2025-11-30T09:23:17.376Z,PAYOUT,3.5,USD,DEBIT,loki1374,,,Return shipping label,,,
FEE-7091688742713_11,04-13748-37798,SHIPPING_LABEL,2025-11-30T08:48:18.527Z,PAYOUT,4.3,USD,DEBIT,frankciccio9469,,,Return shipping label,,,
FEE-7091199477813_11,,NON_SALE_CHARGE,2025-11-30T05:49:45.450Z,PAYOUT,12.22,USD,DEBIT,,,AD_FEE,Promoted Listings - General fee,403464617791,16-13887-20957,
FEE-7091168730513_11,,NON_SALE_CHARGE,2025-11-30T05:33:02.148Z,PAYOUT,10.59,USD,DEBIT,,,AD_FEE,Promoted Listings - General fee,404686876841,05-13909-78342,
05-13909-78342,05-13909-78342,SALE,2025-11-30T05:27:24.648Z,PAYOUT,79.62,USD,CREDIT,wamcdo-97,10.37,,,,,6.3
18-13891-15978,18-13891-15978,SALE,2025-11-30T04:50:44.199Z,PAYOUT,53.78,USD,CREDIT,yazb2014,7.4,,,,,6.42
FEE-7090921678913_11,,NON_SALE_CHARGE,2025-11-30T03:41:55.525Z,PAYOUT,3.96,USD,DEBIT,,,AD_FEE,Promoted Listings - General fee,404756950609,16-13893-77335,
16-13893-77335,16-13893-77335,SALE,2025-11-30T03:34:50.847Z,PAYOUT,33.78,USD,CREDIT,pilot225,4.71,,,,,3.18
21-13886-45225,21-13886-45225,SALE,2025-11-30T03:24:45.908Z,PAYOUT,17.35,USD,CREDIT,alex_mz,2.64,,,,,1.65
FEE-7090889353113_11,,NON_SALE_CHARGE,2025-11-30T03:23:28.038Z,PAYOUT,4.02,USD,DEBIT,,,AD_FEE,Promoted Listings - General fee,404753937057,14-13896-51074,
FEE-7090886569413_11,,NON_SALE_CHARGE,2025-11-30T03:23:05.072Z,PAYOUT,2.4,USD,DEBIT,,,AD_FEE,Promoted Listings - General fee,404596304059,09-13903-32977,
FEE-7090886599113_11,,NON_SALE_CHARGE,2025-11-30T03:23:00.455Z,PAYOUT,2.55,USD,DEBIT,,,AD_FEE,Promoted Listings - General fee,404596394001,09-13903-32977,
FEE-7090882594713_11,,NON_SALE_CHARGE,2025-11-30T03:20:54.775Z,PAYOUT,7.78,USD,DEBIT,,,AD_FEE,Promoted Listings - General fee,405064037637,18-13890-94309,
14-13896-51074,14-13896-51074,SALE,2025-11-30T03:17:31.298Z,PAYOUT,34.17,USD,CREDIT,eaglesnest-77,4.78,,,,,3.36
09-13903-32977,09-13903-32977,SALE,2025-11-30T03:16:06.854Z,PAYOUT,43.68,USD,CREDIT,joshkoakley,5.8,,,,,2.72
18-13890-94309,18-13890-94309,SALE,2025-11-30T03:13:14.640Z,PAYOUT,48.89,USD,CREDIT,ferny209,6.6,,,,,4.37
20-13887-69334,20-13887-69334,SALE,2025-11-30T01:00:31.215Z,PAYOUT,20.56,USD,CREDIT,jaydee41985,3.01,,,,,1.65
FEE-7090561178813_11,,NON_SALE_CHARGE,2025-11-30T00:35:32.310Z,PAYOUT,2.41,USD,DEBIT,,,AD_FEE,Promoted Listings - General fee,404964192152,03-13911-27039,
03-13911-27039,03-13911-27039,SALE,2025-11-30T00:28:03.362Z,PAYOUT,17.32,USD,CREDIT,jameslowell123,2.67,,,,,1.95
FEE-7090418279813_11,,NON_SALE_CHARGE,2025-11-29T23:17:37.864Z,PAYOUT,2.34,USD,DEBIT,,,AD_FEE,Promoted Listings - General fee,404200446525,22-13884-59974,
FEE-7090418085113_11,,NON_SALE_CHARGE,2025-11-29T23:17:25.305Z,PAYOUT,5.22,USD,DEBIT,,,AD_FEE,Promoted Listings - General fee,405026353635,15-13894-31554,
22-13884-59974,22-13884-59974,SALE,2025-11-29T23:12:39.614Z,PAYOUT,17.39,USD,CREDIT,cattlynn,2.6,,,,,1.3
15-13894-31554,15-13894-31554,SALE,2025-11-29T23:11:34.150Z,PAYOUT,48.9,USD,CREDIT,hal4477,6.09,,,,,
