buyerAvailableOptions[0].actionType,buyerAvailableOptions[0].actionURL,buyerLoginName,buyerResponseDue.activityDue,buyerResponseDue.respondByDate.value,buyerTotalRefund.actualRefundAmount.currency,buyerTotalRefund.actualRefundAmount.value,buyerTotalRefund.estimatedRefundAmount.currency,buyerTotalRefund.estimatedRefundAmount.value,creationInfo.comments.content,creationInfo.creationDate.value,creationInfo.item.itemId,creationInfo.item.returnQuantity,creationInfo.item.transactionId,creationInfo.reason,creationInfo.reasonType,creationInfo.type,currentType,escalationInfo.buyerEscalationEligibilityInfo.eligible,escalationInfo.sellerEscalationEligibilityInfo.eligible,escalationInfo.sellerEscalationEligibilityInfo.endTime.value,escalationInfo.sellerEscalationEligibilityInfo.startTime.value,orderId,returnId,returnPolicy.rmarequired,sellerAvailableOptions[0].actionType,sellerAvailableOptions[0].actionURL,sellerLoginName,sellerResponseDue.activityDue,sellerResponseDue.respondByDate.value,sellerTotalRefund.actualRefundAmount.currency,sellerTotalRefund.actualRefundAmount.value,sellerTotalRefund.estimatedRefundAmount.currency,sellerTotalRefund.estimatedRefundAmount.value,state,status,timeoutDate.value
BUYER_PRINT_SHIPPING_LABEL,https://www.ebay.com/rtn/Return/ReturnsDetail?returnId=5304690748,dadper-httpnepkq,OTHER,,,,USD,37.84,,2025-11-02T03:52:19.000Z,403347253802,1,10075648155403,WRONG_SIZE,REMORSE,MONEY_BACK,MONEY_BACK,False,False,,,03-13582-72115,5304690748,True,OTHER,https://www.ebay.com/rtn/Return/ReturnsDetail?returnId=5304690748,espartsplus,SELLER_APPROVE_REQUEST,2025-11-07T07:59:59.000Z,,,USD,35.49,CLOSED,CLOSED,2025-12-10T07:59:59.999Z
BUYER_PRINT_SHIPPING_LABEL,https://www.ebay.com/rtn/Return/ReturnsDetail?returnId=5304718677,marcolivare-2,BUYER_ESCALATE,2025-12-09T07:59:59.000Z,USD,130.24,USD,130.24,,2025-11-02T18:07:19.000Z,404581848066,1,10076036404702,ORDERED_WRONG_ITEM,REMORSE,MONEY_BACK,MONEY_BACK,False,False,,,02-13756-66711,5304718677,True,OTHER,https://www.ebay.com/rtn/Return/ReturnsDetail?returnId=5304718677,espartsplus,SELLER_ISSUE_REFUND,2025-11-19T07:59:59.000Z,USD,119.45,USD,119.45,CLOSED,CLOSED,2025-12-10T07:59:59.999Z
BUYER_PRINT_SHIPPING_LABEL,https://www.ebay.com/rtn/Return/ReturnsDetail?returnId=5304729815,stepanstasiuk,NOTIFIED_SHIPPED,2025-11-20T07:59:59.000Z,USD,96.2,USD,96.2,Doesn’t fit on center in my 2015 Audi q7 premium plus ,2025-11-02T21:55:21.000Z,405034123085,1,10075452154922,NOT_AS_DESCRIBED,SNAD,MONEY_BACK,MONEY_BACK,False,False,,,22-13632-30433,5304729815,True,OTHER,https://www.ebay.com/rtn/Return/ReturnsDetail?returnId=5304729815,espartsplus,SELLER_ISSUE_REFUND,2025-11-18T07:59:59.000Z,USD,44.75,USD,89.49,CLOSED,CLOSED,2025-12-10T07:59:59.999Z
BUYER_PRINT_SHIPPING_LABEL,https://www.ebay.com/rtn/Return/ReturnsDetail?returnId=5304733518,829brian,BUYER_ESCALATE,2025-12-10T07:59:59.000Z,USD,21.62,USD,21.62,These do not fit our 2026 Camry,2025-11-02T23:33:50.000Z,405020634518,1,10076341085904,DOES_NOT_FIT,SNAD,MONEY_BACK,MONEY_BACK,False,False,,,04-13756-65635,5304733518,True,OTHER,https://www.ebay.com/rtn/Return/ReturnsDetail?returnId=5304733518,espartsplus,SELLER_ISSUE_REFUND,2025-11-20T07:59:59.000Z,USD,20.49,USD,20.49,CLOSED,CLOSED,2025-12-10T07:59:59.999Z
BUYER_PRINT_SHIPPING_LABEL,https://www.ebay.com/rtn/Return/ReturnsDetail?returnId=5304744365,rober.colwe,NOTIFIED_SHIPPED,2025-11-20T07:59:59.000Z,USD,25.23,USD,25.23,,2025-11-03T07:16:22.000Z,404097709970,1,10075742893224,ORDERED_WRONG_ITEM,REMORSE,MONEY_BACK,MONEY_BACK,False,False,,,24-13739-20412,5304744365,True,OTHER,https://www.ebay.com/rtn/Return/ReturnsDetail?returnId=5304744365,espartsplus,SELLER_ISSUE_REFUND,2025-11-11T07:59:59.000Z,USD,18.99,USD,22.99,CLOSED,CLOSED,2025-12-10T07:59:59.999Z
BUYER_PRINT_SHIPPING_LABEL,https://www.ebay.com/rtn/Return/ReturnsDetail?returnId=5304793998,charleshepher56,BUYER_ESCALATE,2025-12-06T07:59:59.000Z,USD,18.11,USD,21.31,,2025-11-03T19:27:08.000Z,403303064335,1,10075916052902,NO_LONGER_NEED_ITEM,REMORSE,MONEY_BACK,MONEY_BACK,False,False,,,02-13735-34807,5304793998,True,OTHER,https://www.ebay.com/rtn/Return/ReturnsDetail?returnId=5304793998,espartsplus,SELLER_ISSUE_REFUND,2025-11-25T07:59:59.000Z,USD,16.99,USD,19.99,CLOSED,CLOSED,2025-12-10T07:59:59.999Z
BUYER_PRINT_SHIPPING_LABEL,https://www.ebay.com/rtn/Return/ReturnsDetail?returnId=5304812404,svperformance2024,BUYER_ESCALATE,2025-12-04T07:59:59.000Z,USD,21.77,USD,21.77,,2025-11-03T22:54:15.000Z,404482217750,1,10080007097027,WRONG_SIZE,REMORSE,MONEY_BACK,MONEY_BACK,False,False,,,27-13734-88892,5304812404,True,OTHER,https://www.ebay.com/rtn/Return/ReturnsDetail?returnId=5304812404,espartsplus,SELLER_ISSUE_REFUND,2025-11-14T07:59:59.000Z,USD,19.99,USD,19.99,CLOSED,CLOSED,2025-12-10T07:59:59.999Z
BUYER_PRINT_SHIPPING_LABEL,https://www.ebay.com/rtn/Return/ReturnsDetail?returnId=5304873430,pfr_ski_9wccpji,NOTIFIED_SHIPPED,2025-11-20T07:59:59.000Z,USD,21.74,USD,21.74,Have tried several times to contact the seller communicate the problem with no response.  Ordered CHORME lug locks got BLACK. Posting says chrome I wanted chrome got black. The taper on the locks doesn&#39;t look the same as the stock lug nut. Seller needs to issue a 100&#37; refund and a prepaid shipping label it was his mistake not mine. Thank God for Ebay! Usually everything goes great on Ebay but every once in a while someone isn&#39;t honest. Please 🙏 get this resolved ASAP THANK YOU ,2025-11-04T17:40:50.000Z,404455728019,1,10080787620607,NOT_AS_DESCRIBED,SNAD,MONEY_BACK,MONEY_BACK,False,False,,,07-13738-54526,5304873430,True,OTHER,https://www.ebay.com/rtn/Return/ReturnsDetail?returnId=5304873430,espartsplus,SELLER_ISSUE_REFUND,2025-11-13T07:59:59.000Z,USD,19.99,USD,19.99,CLOSED,CLOSED,2025-12-11T07:59:59.999Z
BUYER_PRINT_SHIPPING_LABEL,https://www.ebay.com/rtn/Return/ReturnsDetail?returnId=5304902303,kyoto-01,NOTIFIED_SHIPPED,2025-11-22T07:59:59.000Z,,,USD,22.29,,2025-11-05T00:05:11.000Z,405011152537,1,10077974948613,ORDERED_WRONG_ITEM,REMORSE,MONEY_BACK,MONEY_BACK,False,False,,,13-13758-16028,5304902303,True,OTHER,https://www.ebay.com/rtn/Return/ReturnsDetail?returnId=5304902303,espartsplus,SELLER_PROVIDE_RMA,2025-11-29T07:59:59.000Z,,,USD,19.99,CLOSED,CLOSED,2025-12-11T07:59:59.999Z
BUYER_PRINT_SHIPPING_LABEL,https://www.ebay.com/rtn/Return/ReturnsDetail?returnId=5304907287,dustind_428,BUYER_ESCALATE,2025-12-03T07:59:59.000Z,USD,17.47,USD,21.84,,2025-11-05T01:55:34.000Z,404200446510,1,10076188154404,WRONG_SIZE,REMORSE,MONEY_BACK,MONEY_BACK,False,False,,,04-13729-75203,5304907287,True,OTHER,https://www.ebay.com/rtn/Return/ReturnsDetail?returnId=5304907287,espartsplus,SELLER_ISSUE_REFUND,2025-11-20T07:59:59.000Z,USD,15.99,USD,19.99,CLOSED,CLOSED,2025-12-11T07:59:59.999Z
