买家用户名,客户标签,运营建议,净消费额(Net LTV),总流水(Gross),订单数(1Y),退货率(1Y),最近购买(天前),客单价(Net AOV)
allwheels2010,[WHALE] 超级鲸鱼 | [LOYAL] 忠诚客户,VVIP客户: 净贡献极高，需专项维护防止流失。 复购良好: 年内2次以上购买，适合新品推荐。,8803.64,8803.64,31,6.1%,8,283.99
gti8u11,[WHALE] 超级鲸鱼 | [LOYAL] 忠诚客户,VVIP客户: 净贡献极高，需专项维护防止流失。 复购良好: 年内2次以上购买，适合新品推荐。,3441.22,3441.22,11,0.0%,2,312.84
alcast9700,[WHALE] 超级鲸鱼 | [LOYAL] 忠诚客户,VVIP客户: 净贡献极高，需专项维护防止流失。 复购良好: 年内2次以上购买，适合新品推荐。,3399.4,3399.4,40,0.0%,8,84.98
dannywipiti,[WHALE] 超级鲸鱼 | [LOYAL] 忠诚客户,VVIP客户: 净贡献极高，需专项维护防止流失。 复购良好: 年内2次以上购买，适合新品推荐。,3279.59,3279.59,25,0.0%,8,131.18
rbdperformance,[WHALE] 超级鲸鱼 | [LOYAL] 忠诚客户,VVIP客户: 净贡献极高，需专项维护防止流失。 复购良好: 年内2次以上购买，适合新品推荐。,2402.03,2402.03,24,0.0%,3,100.08
nu-347,[WHALE] 超级鲸鱼 | [LOYAL] 忠诚客户,VVIP客户: 净贡献极高，需专项维护防止流失。 复购良好: 年内2次以上购买，适合新品推荐。,2390.92,2390.92,14,0.0%,61,170.78
dsx-customs,[WHALE] 超级鲸鱼 | [LOYAL] 忠诚客户,VVIP客户: 净贡献极高，需专项维护防止流失。 复购良好: 年内2次以上购买，适合新品推荐。,2211.33,2211.33,9,18.2%,46,245.7
oscarene1976,[WHALE] 超级鲸鱼 | [LOYAL] 忠诚客户,VVIP客户: 净贡献极高，需专项维护防止流失。 复购良好: 年内2次以上购买，适合新品推荐。,1542.52,1542.52,14,0.0%,24,110.18
alphacustoms,[WHALE] 超级鲸鱼 | [LOYAL] 忠诚客户,VVIP客户: 净贡献极高，需专项维护防止流失。 复购良好: 年内2次以上购买，适合新品推荐。,1534.2,1534.2,3,0.0%,141,511.4
yazb2014,[WHALE] 超级鲸鱼 | [LOYAL] 忠诚客户,VVIP客户: 净贡献极高，需专项维护防止流失。 复购良好: 年内2次以上购买，适合新品推荐。,1407.63,1407.63,26,0.0%,12,54.14
