=== 表1_费用汇总 ===
项目,费用,比例,环比
总邮费(Total),-15415.720000000001,100.00%,-3.04%
超支邮费(Over),86.77,-0.56%,0.00%
罚款邮费(Fine),-258.42999999999995,1.68%,-27.64%


=== 表2_单数汇总 ===
项目,单数,比例,环比
总订单数,1871,100%,3.26%


=== 表3_Combo详情 ===
Combo,原始邮费,超支邮费,邮费罚款,包邮退货邮费,原始单数,超支单数,罚款单数,包邮退货单数,罚款比例,罚款单数比例,总订单数
5120SH726T10.4+BU1B4D40K.20+0.0+0.0+0.0+0.0+0.0+0.0+0.0+0.0,72.71,86.77,0.0,0.0,2,1,0,0,0.00%,0.00%,2
5112SH666T30.2+BE2B4E60K.10+0.0+0.0+0.0+0.0+0.0+0.0+0.0+0.0,0.0,0.0,0.0,0.0,1,0,0,0,0.00%,0.00%,1
BE2B4E55K.5+0.0+0.0+0.0+0.0+0.0+0.0+0.0+0.0+0.0,0.0,0.0,0.0,0.0,1,0,0,0,0.00%,0.00%,1
5112SH666T30.2+BE2B4E75K.10+0.0+0.0+0.0+0.0+0.0+0.0+0.0+0.0,0.0,0.0,0.0,0.0,1,0,0,0,0.00%,0.00%,1
5102SH571T12.2+BE2B4E40K.10+0.0+0.0+0.0+0.0+0.0+0.0+0.0+0.0,0.0,0.0,0.0,0.0,1,0,0,0,0.00%,0.00%,1
5102SH571T15.4+BE2B4E45K.20+0.0+0.0+0.0+0.0+0.0+0.0+0.0+0.0,0.0,0.0,0.0,0.0,1,0,0,0,0.00%,0.00%,1
5112H666E32.2+BU1B4D28K.10+0.0+0.0+0.0+0.0+0.0+0.0+0.0+0.0,0.0,0.0,0.0,0.0,1,0,0,0,0.00%,0.00%,1
8180-8170E51.4+0.0+0.0+0.0+0.0+0.0+0.0+0.0+0.0+0.0,0.0,0.0,0.0,0.0,1,0,0,0,0.00%,0.00%,1
NE1C3B40K.20+0.0+0.0+0.0+0.0+0.0+0.0+0.0+0.0+0.0,0.0,0.0,0.0,0.0,1,0,0,0,0.00%,0.00%,1
5112SH666T15.2+BU1B4D45K.10+0.0+0.0+0.0+0.0+0.0+0.0+0.0+0.0,-3.23,0.0,0.0,0.0,1,0,0,0,-0.00%,0.00%,1
BU1B9SKTX.1+0.0+0.0+0.0+0.0+0.0+0.0+0.0+0.0+0.0,-5.15,0.0,0.0,0.0,1,0,0,0,-0.00%,0.00%,1
NE3C3A37K.20+NE3C9A37K.1+0.0+0.0+0.0+0.0+0.0+0.0+0.0+0.0,-6.0,0.0,0.0,0.0,1,0,0,0,-0.00%,0.00%,1
5112SH666T15.4+BE2B4E45K.20+0.0+0.0+0.0+0.0+0.0+0.0+0.0+0.0,-6.0,0.0,0.0,0.0,2,0,0,0,-0.00%,0.00%,2
5112SH666T15.4+BE2B4E60K.20+0.0+0.0+0.0+0.0+0.0+0.0+0.0+0.0,-6.0,0.0,0.0,0.0,1,0,0,0,-0.00%,0.00%,1
6550-6550E32.2+0.0+0.0+0.0+0.0+0.0+0.0+0.0+0.0+0.0,-6.0,0.0,0.0,0.0,1,0,0,0,-0.00%,0.00%,1
5112SH666T30.4+BE2B4E60K.20+0.0+0.0+0.0+0.0+0.0+0.0+0.0+0.0,-6.07,0.0,0.0,0.0,2,0,0,0,-0.00%,0.00%,2
NE3C3A37C.16+NE3C9A37C.1+0.0+0.0+0.0+0.0+0.0+0.0+0.0+0.0,-6.15,0.0,0.0,0.0,1,0,0,0,-0.00%,0.00%,1
NE1C3F45K.24+0.0+0.0+0.0+0.0+0.0+0.0+0.0+0.0+0.0,-6.15,0.0,0.0,0.0,1,0,0,0,-0.00%,0.00%,1
6550-6550B38.4+NU1P1A22Z.24+0.0+0.0+0.0+0.0+0.0+0.0+0.0+0.0,-6.19,0.0,0.0,0.0,1,0,0,0,-0.00%,0.00%,1
5500/5550-5475B32.4+NU1P1E22Z.20+0.0+0.0+0.0+0.0+0.0+0.0+0.0+0.0,-6.45,0.0,0.0,0.0,1,0,0,0,-0.00%,0.00%,1
