=== A1_数量表 ===
Full SKU,总销量,总取消数,总退货数(无平台介入),总退货数(平台介入),总退货数(平台强制退款),强制退货(仅退款),净销售
5102SH571T12.2+BE2B4E40K.10+0.0+0.0+0.0+0.0+0.0+0.0+0.0+0.0,1.0,0.0,0.0,0.0,0,0,1.0
5102SH571T12.4+BE2B4E40K.20+0.0+0.0+0.0+0.0+0.0+0.0+0.0+0.0,1.0,0.0,0.0,0.0,0,0,1.0
5102SH571T15.2+BE2B4E45K.10+0.0+0.0+0.0+0.0+0.0+0.0+0.0+0.0,2.0,0.0,0.0,0.0,0,0,2.0
5102SH571T15.4+BE2B4E45K.20+0.0+0.0+0.0+0.0+0.0+0.0+0.0+0.0,2.0,1.0,0.0,0.0,0,0,1.0
5102SH571T20.2+BE2B4E50K.10+0.0+0.0+0.0+0.0+0.0+0.0+0.0+0.0,2.0,0.0,0.0,0.0,0,0,2.0
5102SH571T25.4+BE2B4E55K.20+0.0+0.0+0.0+0.0+0.0+0.0+0.0+0.0,4.0,0.0,0.0,0.0,0,0,4.0
5110/5112-5450B32.4+0.0+0.0+0.0+0.0+0.0+0.0+0.0+0.0+0.0,1.0,0.0,0.0,0.0,0,0,1.0
5110/5112-5450B32.4+BU1B4D28K.20+0.0+0.0+0.0+0.0+0.0+0.0+0.0+0.0,1.0,0.0,0.0,0.0,0,0,1.0
5112H666E32.2+BU1B4D28K.10+0.0+0.0+0.0+0.0+0.0+0.0+0.0+0.0,2.0,1.0,0.0,0.0,0,0,1.0
5112H666E32.2+BU1B4E28K.10+0.0+0.0+0.0+0.0+0.0+0.0+0.0+0.0,5.0,0.0,0.0,0.0,0,0,5.0
5112H666E32.4+BU1B4D28K.20+0.0+0.0+0.0+0.0+0.0+0.0+0.0+0.0,1.0,0.0,0.0,0.0,0,0,1.0
5112H666E32.4+BU1B4E28K.20+0.0+0.0+0.0+0.0+0.0+0.0+0.0+0.0,9.0,0.0,1.0,0.0,0,0,8.7
5112SH666T12.2+BE2B4E40K.10+0.0+0.0+0.0+0.0+0.0+0.0+0.0+0.0,7.0,0.0,0.0,0.0,0,0,7.0
5112SH666T12.2+BE2B4E55K.10+0.0+0.0+0.0+0.0+0.0+0.0+0.0+0.0,8.0,0.0,0.0,0.0,0,0,8.0
5112SH666T12.2+BU1B4D40K.10+0.0+0.0+0.0+0.0+0.0+0.0+0.0+0.0,4.0,0.0,0.0,0.0,0,0,4.0
5112SH666T12.4+BE2B4E40K.20+0.0+0.0+0.0+0.0+0.0+0.0+0.0+0.0,9.0,1.0,1.0,0.0,0,0,7.7
5112SH666T12.4+BE2B4E55K.20+0.0+0.0+0.0+0.0+0.0+0.0+0.0+0.0,2.0,0.0,0.0,0.0,0,0,2.0
5112SH666T12.4+BU1B4D40K.20+0.0+0.0+0.0+0.0+0.0+0.0+0.0+0.0,6.0,1.0,0.0,0.0,0,0,5.0
5112SH666T15.2+BE2B4E45K.10+0.0+0.0+0.0+0.0+0.0+0.0+0.0+0.0,16.0,0.0,2.0,0.0,0,0,15.4
5112SH666T15.2+BE2B4E60K.10+0.0+0.0+0.0+0.0+0.0+0.0+0.0+0.0,3.0,0.0,0.0,0.0,0,0,3.0
5112SH666T15.2+BU1B4D45K.10+0.0+0.0+0.0+0.0+0.0+0.0+0.0+0.0,3.0,0.0,0.0,0.0,0,0,3.0
5112SH666T15.4+BE2B4E45K.20+0.0+0.0+0.0+0.0+0.0+0.0+0.0+0.0,2.0,0.0,0.0,0.0,0,0,2.0
5112SH666T15.4+BE2B4E60K.20+0.0+0.0+0.0+0.0+0.0+0.0+0.0+0.0,1.0,0.0,0.0,0.0,0,0,1.0
5112SH666T15.4+BU1B4D45K.20+0.0+0.0+0.0+0.0+0.0+0.0+0.0+0.0,9.0,0.0,0.0,0.0,0,0,9.0
5112SH666T20.2+BE2B4E50K.10+0.0+0.0+0.0+0.0+0.0+0.0+0.0+0.0,6.0,0.0,0.0,0.0,0,0,6.0
5112SH666T20.2+BE2B4E60K.10+0.0+0.0+0.0+0.0+0.0+0.0+0.0+0.0,3.0,0.0,0.0,0.0,0,0,3.0
5112SH666T20.2+BE2B4E65K.10+0.0+0.0+0.0+0.0+0.0+0.0+0.0+0.0,1.0,0.0,0.0,0.0,0,0,1.0
5112SH666T20.2+BU1B4D50K.10+0.0+0.0+0.0+0.0+0.0+0.0+0.0+0.0,1.0,0.0,0.0,0.0,0,0,1.0
5112SH666T20.4+BE2B4E50K.20+0.0+0.0+0.0+0.0+0.0+0.0+0.0+0.0,9.0,1.0,0.0,0.0,0,0,8.0
5112SH666T20.4+BE2B4E60K.20+0.0+0.0+0.0+0.0+0.0+0.0+0.0+0.0,1.0,0.0,0.0,0.0,0,0,1.0
5112SH666T20.4+BU1B4D50K.20+0.0+0.0+0.0+0.0+0.0+0.0+0.0+0.0,7.0,0.0,0.0,0.0,0,0,7.0
5112SH666T25.2+BE2B4E55K.10+0.0+0.0+0.0+0.0+0.0+0.0+0.0+0.0,5.0,0.0,0.0,0.0,0,0,5.0
5112SH666T25.2+BU1B4D55K.10+0.0+0.0+0.0+0.0+0.0+0.0+0.0+0.0,1.0,0.0,0.0,0.0,0,0,1.0
5112SH666T25.4+BE2B4E55K.20+0.0+0.0+0.0+0.0+0.0+0.0+0.0+0.0,3.0,0.0,0.0,0.0,0,0,3.0
5112SH666T25.4+BU1B4D55K.20+0.0+0.0+0.0+0.0+0.0+0.0+0.0+0.0,1.0,0.0,0.0,0.0,0,0,1.0
5112SH666T30.2+BE2B4E60K.10+0.0+0.0+0.0+0.0+0.0+0.0+0.0+0.0,3.0,1.0,0.0,0.0,0,0,2.0
5112SH666T30.2+BE2B4E75K.10+0.0+0.0+0.0+0.0+0.0+0.0+0.0+0.0,2.0,0.0,0.0,0.0,0,0,2.0
5112SH666T30.2+BU1B4D60K.10+0.0+0.0+0.0+0.0+0.0+0.0+0.0+0.0,3.0,0.0,0.0,0.0,0,0,3.0
5112SH666T30.4+BE2B4E60K.20+0.0+0.0+0.0+0.0+0.0+0.0+0.0+0.0,2.0,0.0,0.0,0.0,0,0,2.0
5112SH666T30.4+BE2B4E75K.20+0.0+0.0+0.0+0.0+0.0+0.0+0.0+0.0,4.0,0.0,1.0,0.0,0,0,3.7
5115H715E32.4+0.0+0.0+0.0+0.0+0.0+0.0+0.0+0.0+0.0,3.0,0.0,0.0,0.0,0,0,3.0
5120H641E20.2+0.0+0.0+0.0+0.0+0.0+0.0+0.0+0.0+0.0,7.0,0.0,0.0,0.0,0,0,7.0
5120H641E20.4+0.0+0.0+0.0+0.0+0.0+0.0+0.0+0.0+0.0,9.0,0.0,0.0,0.0,0,0,9.0
5120H669E20.2+0.0+0.0+0.0+0.0+0.0+0.0+0.0+0.0+0.0,2.0,0.0,0.0,0.0,0,0,2.0
5120H669E20.4+0.0+0.0+0.0+0.0+0.0+0.0+0.0+0.0+0.0,10.0,0.0,1.0,0.0,0,0,9.7
5120H669E32.2+0.0+0.0+0.0+0.0+0.0+0.0+0.0+0.0+0.0,1.0,0.0,0.0,0.0,0,0,1.0
5120H741E32.4+BU1B4D28K.20+0.0+0.0+0.0+0.0+0.0+0.0+0.0+0.0,8.0,2.0,0.0,0.0,0,0,6.0
5120SH726T10.2+BU1B4D40K.10+0.0+0.0+0.0+0.0+0.0+0.0+0.0+0.0,5.0,0.0,0.0,0.0,0,0,5.0
5120SH726T10.4+BU1B4D40K.20+0.0+0.0+0.0+0.0+0.0+0.0+0.0+0.0,2.0,0.0,0.0,0.0,0,0,2.0
5120SH726T15.2+BU1B4B45K.10+0.0+0.0+0.0+0.0+0.0+0.0+0.0+0.0,1.0,0.0,0.0,0.0,0,0,1.0
5120SH726T15.4+BU1B4D45K.20+0.0+0.0+0.0+0.0+0.0+0.0+0.0+0.0,3.0,0.0,0.0,0.0,0,0,3.0
5120SH726T20.2+BU1B4B50K.10+0.0+0.0+0.0+0.0+0.0+0.0+0.0+0.0,1.0,0.0,0.0,0.0,0,0,1.0
5120SH726T25.4+BU1B4B55K.20+0.0+0.0+0.0+0.0+0.0+0.0+0.0+0.0,2.0,0.0,0.0,0.0,0,0,2.0
5120SH726T30.4+BU1B4D60K.20+0.0+0.0+0.0+0.0+0.0+0.0+0.0+0.0,1.0,0.0,0.0,0.0,0,0,1.0
5120SH741T10.2+BU1B4D40K.10+0.0+0.0+0.0+0.0+0.0+0.0+0.0+0.0,1.0,0.0,0.0,0.0,0,0,1.0
5120SH741T10.4+BU1B4D40K.20+0.0+0.0+0.0+0.0+0.0+0.0+0.0+0.0,1.0,0.0,0.0,0.0,0,0,1.0
5120SH741T12.2+BU1B4D40K.10+0.0+0.0+0.0+0.0+0.0+0.0+0.0+0.0,4.0,1.0,0.0,0.0,0,0,3.0
5120SH741T15.2+BU1B4D45K.10+0.0+0.0+0.0+0.0+0.0+0.0+0.0+0.0,8.0,0.0,0.0,0.0,0,0,8.0
5120SH741T15.4+BU1B4D45K.20+0.0+0.0+0.0+0.0+0.0+0.0+0.0+0.0,4.0,0.0,0.0,0.0,0,0,4.0
5120SH741T20.2+BU1B4D50K.10+0.0+0.0+0.0+0.0+0.0+0.0+0.0+0.0,5.0,1.0,0.0,0.0,0,0,4.0
5120SH741T20.4+BU1B4D50K.20+0.0+0.0+0.0+0.0+0.0+0.0+0.0+0.0,5.0,0.0,0.0,0.0,0,0,5.0
5120SH741T25.2+BU1B4D55K.10+0.0+0.0+0.0+0.0+0.0+0.0+0.0+0.0,5.0,0.0,0.0,0.0,0,0,5.0
5120SH741T25.4+BU1B4D55K.20+0.0+0.0+0.0+0.0+0.0+0.0+0.0+0.0,2.0,0.0,0.0,0.0,0,0,2.0
5120SH741T30.2+BU1B4D60K.10+0.0+0.0+0.0+0.0+0.0+0.0+0.0+0.0,5.0,1.0,0.0,0.0,0,0,4.0
5120SH741T30.4+BU1B4D60K.20+0.0+0.0+0.0+0.0+0.0+0.0+0.0+0.0,3.0,0.0,0.0,0.0,0,0,3.0
5130H715E32.4+BU1B4E28K.20+0.0+0.0+0.0+0.0+0.0+0.0+0.0+0.0,2.0,0.0,0.0,0.0,0,0,2.0
5130SH715T12.4+BE2B4E40K.20+0.0+0.0+0.0+0.0+0.0+0.0+0.0+0.0,1.0,0.0,0.0,0.0,0,0,1.0
5130SH715T15.2+BE2B4E45K.10+0.0+0.0+0.0+0.0+0.0+0.0+0.0+0.0,1.0,0.0,0.0,0.0,0,0,1.0
5130SH715T20.2+BE2B4E50K.10+0.0+0.0+0.0+0.0+0.0+0.0+0.0+0.0,10.0,1.0,0.0,0.0,0,0,9.0
5130SH715T25.2+BE2B4E55K.10+0.0+0.0+0.0+0.0+0.0+0.0+0.0+0.0,1.0,0.0,0.0,0.0,0,0,1.0
5130SH715T25.4+BE2B4E55K.20+0.0+0.0+0.0+0.0+0.0+0.0+0.0+0.0,6.0,0.0,0.0,0.0,0,0,6.0
5130SH715T30.4+BE2B4E60K.20+0.0+0.0+0.0+0.0+0.0+0.0+0.0+0.0,1.0,0.0,0.0,0.0,0,0,1.0
5135/5500-5500H38.4+0.0+0.0+0.0+0.0+0.0+0.0+0.0+0.0+0.0,1.0,0.0,0.0,0.0,0,0,1.0
5450/5475-5500B32.4+0.0+0.0+0.0+0.0+0.0+0.0+0.0+0.0+0.0,1.0,0.0,0.0,0.0,0,0,1.0
5450H601B32.4+0.0+0.0+0.0+0.0+0.0+0.0+0.0+0.0+0.0,2.0,0.0,0.0,0.0,0,0,2.0
5450H641E15.2+0.0+0.0+0.0+0.0+0.0+0.0+0.0+0.0+0.0,2.0,0.0,0.0,0.0,0,0,2.0
5450H641E25.4+0.0+0.0+0.0+0.0+0.0+0.0+0.0+0.0+0.0,1.0,0.0,0.0,0.0,0,0,1.0
5450H671B20.2+0.0+0.0+0.0+0.0+0.0+0.0+0.0+0.0+0.0,1.0,0.0,0.0,0.0,0,0,1.0
5450H671B20.4+0.0+0.0+0.0+0.0+0.0+0.0+0.0+0.0+0.0,7.0,1.0,0.0,0.0,0,0,6.0
