=== A1_数量表 ===
Item ID,总销量,总取消数,总退货数(无平台介入),总退货数(平台介入),总退货数(平台强制退款),强制退货(仅退款),净销售
364424975869,3.0,0.0,0.0,0.0,0,0,3.0
364425031681,1.0,0.0,0.0,0.0,0,0,1.0
364425040392,6.0,0.0,0.0,0.0,0,0,6.0
364425089911,2.0,0.0,0.0,0.0,0,0,2.0
364425112364,1.0,0.0,0.0,0.0,0,0,1.0
364425149305,1.0,0.0,0.0,0.0,0,0,1.0
364425290494,3.0,0.0,0.0,0.0,0,0,3.0
364425305014,1.0,0.0,0.0,0.0,0,0,1.0
364429333172,2.0,0.0,0.0,0.0,0,0,2.0
364430413832,1.0,0.0,0.0,0.0,0,0,1.0
364430441233,2.0,0.0,0.0,0.0,0,0,2.0
364430448914,1.0,0.0,0.0,0.0,0,0,1.0
364430450488,4.0,0.0,0.0,0.0,0,0,4.0
364430486233,1.0,0.0,0.0,0.0,0,0,1.0
364430501802,1.0,0.0,0.0,0.0,0,0,1.0
364430511752,8.0,0.0,0.0,0.0,0,0,8.0
364430534533,1.0,0.0,0.0,0.0,0,0,1.0
364430539185,1.0,0.0,0.0,0.0,0,0,1.0
364430547528,2.0,0.0,0.0,0.0,0,0,2.0
364430549256,4.0,0.0,0.0,0.0,0,0,4.0
364430559569,1.0,0.0,0.0,0.0,0,0,1.0
364430623182,1.0,0.0,0.0,0.0,0,0,1.0
364431143603,1.0,0.0,0.0,0.0,0,0,1.0
364432018984,1.0,0.0,0.0,0.0,0,0,1.0
364432038531,27.0,0.0,0.0,0.0,0,0,27.0
364432041814,2.0,0.0,0.0,0.0,0,0,2.0
364432072784,2.0,0.0,0.0,0.0,0,0,2.0
364432110047,1.0,0.0,0.0,0.0,0,0,1.0
364432138519,2.0,0.0,0.0,0.0,0,0,2.0
364432173431,1.0,0.0,0.0,0.0,0,0,1.0
364449869975,1.0,0.0,0.0,0.0,0,0,1.0
364449876070,1.0,0.0,0.0,0.0,0,0,1.0
364449888424,1.0,0.0,0.0,0.0,0,0,1.0
364449913644,3.0,0.0,0.0,0.0,0,0,3.0
364450048352,1.0,0.0,0.0,0.0,0,0,1.0
364450063108,11.0,0.0,0.0,0.0,0,0,11.0
364450072086,1.0,0.0,0.0,0.0,0,0,1.0
364450072140,4.0,0.0,0.0,0.0,0,0,4.0
364451664530,27.0,1.0,0.0,0.0,0,0,26.0
364453307772,3.0,0.0,0.0,0.0,0,0,3.0
364453330754,1.0,0.0,0.0,0.0,0,0,1.0
364456009119,2.0,0.0,0.0,0.0,0,0,2.0
364456011882,1.0,0.0,0.0,0.0,0,0,1.0
364457266998,5.0,0.0,0.0,0.0,0,0,5.0
364457269480,2.0,0.0,0.0,0.0,0,0,2.0
364457298587,4.0,0.0,0.0,0.0,0,0,4.0
364457303329,1.0,0.0,0.0,0.0,0,0,1.0
364457307263,22.0,2.0,1.0,0.0,0,0,19.7
364457733036,7.0,0.0,0.0,0.0,0,0,7.0
364457750358,14.0,0.0,0.0,0.0,0,0,14.0
364457754525,1.0,0.0,0.0,0.0,0,0,1.0
364457762056,1.0,0.0,0.0,0.0,0,0,1.0
364457764891,4.0,0.0,0.0,1.0,0,0,3.5
364457770176,2.0,0.0,0.0,0.0,0,0,2.0
364457775413,1.0,0.0,0.0,0.0,0,0,1.0
364457776755,2.0,0.0,0.0,0.0,0,0,2.0
364457795313,1.0,0.0,0.0,0.0,0,0,1.0
364457799071,4.0,0.0,1.0,0.0,0,0,3.7
364457799960,5.0,0.0,0.0,0.0,0,0,5.0
364457808105,2.0,0.0,0.0,0.0,0,0,2.0
364457809963,1.0,0.0,0.0,0.0,0,0,1.0
364457822363,2.0,0.0,0.0,0.0,0,0,2.0
364457823485,1.0,0.0,0.0,0.0,0,0,1.0
364457826351,2.0,0.0,0.0,0.0,0,0,2.0
