=== A1_数量表 ===
SKU,总销量,总取消数,总退货数(无平台介入),总退货数(平台介入),总退货数(平台强制退款),强制退货(仅退款),净销售
5102SH571T12,6.0,0.0,0.0,0.0,0,0,6.0
5102SH571T15,12.0,4.0,0.0,0.0,0,0,8.0
5102SH571T20,4.0,0.0,0.0,0.0,0,0,4.0
5102SH571T25,16.0,0.0,0.0,0.0,0,0,16.0
5110/5112-5450B32,8.0,0.0,0.0,0.0,0,0,8.0
5112H666E32,54.0,2.0,4.0,0.0,0,0,50.8
5112SH666T12,106.0,8.0,4.0,0.0,0,0,96.8
5112SH666T15,92.0,0.0,4.0,0.0,0,0,90.8
5112SH666T20,90.0,4.0,0.0,0.0,0,0,86.0
5112SH666T25,28.0,0.0,0.0,0.0,0,0,28.0
5112SH666T30,40.0,2.0,4.0,0.0,0,0,36.8
5115H715E32,12.0,0.0,0.0,0.0,0,0,12.0
5120H641E20,50.0,0.0,0.0,0.0,0,0,50.0
5120H669E20,44.0,0.0,4.0,0.0,0,0,42.8
5120H669E32,2.0,0.0,0.0,0.0,0,0,2.0
5120H741E32,32.0,8.0,0.0,0.0,0,0,24.0
5120SH726T10,18.0,0.0,0.0,0.0,0,0,18.0
5120SH726T15,14.0,0.0,0.0,0.0,0,0,14.0
5120SH726T20,2.0,0.0,0.0,0.0,0,0,2.0
5120SH726T25,8.0,0.0,0.0,0.0,0,0,8.0
5120SH726T30,4.0,0.0,0.0,0.0,0,0,4.0
5120SH741T10,6.0,0.0,0.0,0.0,0,0,6.0
5120SH741T12,8.0,2.0,0.0,0.0,0,0,6.0
5120SH741T15,32.0,0.0,0.0,0.0,0,0,32.0
5120SH741T20,30.0,2.0,0.0,0.0,0,0,28.0
5120SH741T25,18.0,0.0,0.0,0.0,0,0,18.0
5120SH741T30,22.0,2.0,0.0,0.0,0,0,20.0
5130H715E32,8.0,0.0,0.0,0.0,0,0,8.0
5130SH715T12,4.0,0.0,0.0,0.0,0,0,4.0
5130SH715T15,2.0,0.0,0.0,0.0,0,0,2.0
5130SH715T20,20.0,2.0,0.0,0.0,0,0,18.0
5130SH715T25,26.0,0.0,0.0,0.0,0,0,26.0
5130SH715T30,4.0,0.0,0.0,0.0,0,0,4.0
5135/5500-5500H38,4.0,0.0,0.0,0.0,0,0,4.0
5450/5475-5500B32,4.0,0.0,0.0,0.0,0,0,4.0
5450H601B32,8.0,0.0,0.0,0.0,0,0,8.0
5450H641E15,4.0,0.0,0.0,0.0,0,0,4.0
5450H641E25,4.0,0.0,0.0,0.0,0,0,4.0
5450H671B20,30.0,4.0,0.0,0.0,0,0,26.0
5450H671B32,4.0,0.0,0.0,0.0,0,0,4.0
5475-5450B25,4.0,0.0,0.0,0.0,0,0,4.0
5475-5475B32,4.0,0.0,0.0,0.0,0,0,4.0
5475/5500-5500H32,6.0,0.0,0.0,0.0,0,0,6.0
5500/5550-5450B32,20.0,0.0,0.0,0.0,0,0,20.0
5500/5550-5475B32,4.0,0.0,0.0,0.0,0,0,4.0
6135-6550H871E38,4.0,0.0,0.0,0.0,0,0,4.0
6135/6550-6550E32,4.0,0.0,0.0,0.0,0,0,4.0
6135H871E25,14.0,0.0,0.0,0.0,0,0,14.0
6450/6500-6550B32,36.0,0.0,16.0,0.0,0,0,31.2
6550-6135H781E38,8.0,0.0,4.0,0.0,0,0,6.8
6550-6550B32,20.0,0.0,0.0,0.0,0,0,20.0
6550-6550B38,12.0,0.0,0.0,0.0,0,0,12.0
6550-6550B51,4.0,0.0,0.0,0.0,0,0,4.0
6550-6550E32,4.0,0.0,0.0,0.0,0,0,4.0
6550-6550E38,16.0,0.0,0.0,0.0,0,0,16.0
6550-6550E51,16.0,4.0,0.0,0.0,0,0,12.0
6550H106B25,12.0,0.0,0.0,0.0,0,0,12.0
6550H106B38,44.0,0.0,0.0,0.0,0,0,44.0
6550H781E25,8.0,0.0,0.0,0.0,0,0,8.0
6550H781E32,8.0,0.0,0.0,0.0,0,0,8.0
6550H951E32,8.0,0.0,0.0,0.0,0,0,8.0
8170-8180E51,4.0,0.0,0.0,0.0,0,0,4.0
8170-8650E51,4.0,0.0,0.0,0.0,0,0,4.0
8180-8170E51,4.0,0.0,0.0,0.0,0,0,4.0
8180-8650E51,12.0,0.0,0.0,0.0,0,0,12.0
8650-8170E51,4.0,0.0,0.0,0.0,0,0,4.0
BE2B4E28K,588.0,0.0,36.0,0.0,0,0,577.2
BE2B4E40K,310.0,20.0,20.0,0.0,0,0,284.0
BE2B4E45K,322.0,20.0,20.0,0.0,0,0,296.0
BE2B4E50K,370.0,30.0,0.0,0.0,0,0,340.0
BE2B4E55K,525.0,0.0,0.0,0.0,0,0,525.0
BE2B4E60K,240.0,10.0,0.0,0.0,0,0,230.0
BE2B4E65K,130.0,0.0,0.0,0.0,0,0,130.0
BE2B4E70K,60.0,0.0,0.0,0.0,0,0,60.0
BE2B4E75K,100.0,0.0,20.0,0.0,0,0,94.0
BE2B9B40K,4.0,0.0,1.0,0.0,0,0,3.7
