CustomLabel,BadSKU,BadQty,CorrectSKU,CorrectQty
ZD.5130SH715T125.2+BE2B4E55K.10.BP,5130SH715T125,2,5130SH715T12,2
ZD.5130SH715T125.4+BE2B4E55K.20.BP,5130SH715T125,4,5130SH715T12,4
ZD.5130SH715T125.4+BE2B4E55K.20.BP,解析失败(空数据),0,5130SH715T25,4
A2.NU1C1H3C.24,NU1C1H3C,24,NU1C1H36C,24
9E46K.1,9E46K,1,NU1C9E46K,1
9E46K.1,PARSE_FAILED,0,NU1C9E46K,1
bolt key,BOLT KEY,1,BU1B9SKTX,1
bolt key,PARSE_FAILED,0,BU1B9SKTX,1
BEE55K.5,BEE55K,1,BE2B4E55K,5
BEE55K.5,PARSE_FAILED,0,BE2B4E55K,5
bolt lock,BOLT LOCK,1,BU1B9SKTX,1
bolt lock,PARSE_FAILED,0,BU1B9SKTX,1
NE3C3E48C.4,NE3C3E48C,4,NE3C2E48C,4
B37K.2,B37K,1,NE3C3B37K,2
E1.6135/550-6135E32.4.C6550,6135/550-6135E32,4,6135/6550-6135E32,4
ZA.NU1C1E46C.28+NU1C9E42C.1.Ram,NU1C9E42C,1,NU1C9E46C,1
B1.5450H601B20.2+BU14E28K.10.Lexus,BU14E28K,10,BU1B4E28K,10
D60K.5,D60K,1,BU1B4D60K,5
A1.NU1C1936C.1.Buick,NU1C1936C,1,NU1C9B36C,1
S2D15E45K.20+NE1C2E40K.20+E46K.20,E46K,1,NU1C1E46K,20
SKT7.1,SKT7,1,NU1C8SKT7,1
B36C.3,B36C,1,NU1C1B36C,3
E48K.3,E48K,1,NE3C2E48K,3
E40K.4,E40K,1,NE1C2E40K,4
A1.NU1C1936K.1.Buick,NU1C1936K,1,NU1C9B36K,1
ZD.5112SH666T10.4+BE2B4E40K.20.S_10,5112SH666T10,4,5112SH666T12,4
ZD.5102SH571T10.4+BE2B4E50K.20.VW,5102SH571T10,4,5102SH571T12,4
Bolt Lock Key,BOLT LOCK KEY,1,BU1B9SKTX,1
ZD.5120SH741T10.4+BU1B4D28C.20.BMW,BU1B4D28C,20,BU1B4D28K,20
A2.S2E15E15K.20.VW,S2E15E15K,20,S2E15E45K,20
